QuestionID,StudentAnswer,Score1,Score2
BasicML045, a graphical representation that organizes a group of data points into user-specified ranges.,4,3
BasicML042," Accuracy, Recall, Precision, and F1- Score",4,4
BasicML044," Box plot,Histograms,,scatter plot,Violion plot",4,4
BasicML037," Box plot,Histograms,,scatter plot,Violion plot .",5,5
BasicML034, Box plots give a good graphical image of the concentration of the data.,3,3
BasicML030," Data visualization gives us a clear idea of what the information 
means by giving it visual context through maps or graphs. This 
makes the data more natural for the human mind to 
comprehend and therefore makes it easier to identify trends, 
patterns, and outliers within large data sets.",5,5
BasicML013," Data=pd. read_csv(""filename"")",3,3
BasicML046, detect missing values in the given series object,2,2
BasicML018," exploratory analysis is what you do to understand and get familiar with your data and
 generate information.",4,3
BasicML041," For every data point, you take the distance vertically from the point to the corresponding y value on the curve fit (the error), and square the value.",4,4
BasicML015, Handling missing data and cleaning up the data,2,2
BasicML045, histogram is a graphical representation that organizes a group of data points into user-specified ranges,4,4
BasicML002," I really liked the kaggale.Kaggle allows users to find and publish data sets, explore and build models in 
a web-based data-science environment. It also helps to improve self-learning skills.
",5,4
BasicML020, In binary classification we have only two classes but in multiclass classification we have more than two classes,4,4
BasicML019, its use of labeled datasets to train algorithms that to classify data or predict outcomes accurately,4,4
BasicML017, lies an abnormal distance from other values in a random sample from a population.,4,4
BasicML033, measure of errors between paired observations with same expression,2,1
BasicML047," Nominal data is “labeled” or “named” data which can be 
divided into various groups that do not overlap.",4,4
BasicML047," Nominal data is “labeled” or “named” data which can be 
divided into various groups that do not overlap. Data is not 
measured or evaluated in this case, it is just assigned to multiple 
groups. These groups are unique and have no common 
elements.
",5,5
BasicML047," Nominal data is “labeled” or “named” data which can be 
divided into various groups that do not overlap. Data is not 
measured or evaluated in this case, it is just assigned to multiple 
groups. These groups are unique and have no common 
elements.",5,5
BasicML016, observe and show relationships between two numeric variables.,3,3
BasicML023, One of the main advantages of using Numpy arrays is that they take less memory space and provide better runtime speed when compared with similar data structures in python(lists and tuples). Numpy support some specific scientific functions such as linear algebra.,4,3
BasicML008, population is used when we want to pick entire group.A sample is the specific group that  the data collected  from.,4,4
BasicML023," the main advantages of using Numpy arrays is that they take less memory space and provide better runtime speed when compared with similar data structures in python(lists and tuples). 
Numpy support some specific scientific functions such as linear algebra.",4,3
BasicML016, They show correlation of variables,2,2
BasicML031, used to show  behavior on specific webpages ,2,2
BasicML043,"
Import numpy
Take a list of numbers
List=[1, 2, 3, 4, 5]
Arr= numpy.array(List)",5,5
BasicML046,"
Returns a Boolean value that indicates whether an expression contains no valid data (Null).",5,5
BasicML038,"
1. Determining the objective
2. Data Collection
3. Data Cleaning
4. Interpreting the data
5. Sharing the results",5,5
BasicML032,"
unique() method of pandas library returns unique values based on a hash table. Uniques are returned in order of appearance. This does not sort. pandas unique() is significantly faster than numpy.unique().",5,5
BasicML010,"""Drop"" function is used to delete a column of a data frame.",2,2
BasicML013,"#import pandas 
import pandas as pd
#reading csv file
pd.read_csv(""filename.csv"")",5,5
BasicML013,"#import pandas
import pandas as pd
#reading csv file
pd.read_csv(""filename.csv"")",5,5
BasicML013,"#import pandas
import pandas as pd
#reading csv file
pd.read_csv(""filename.csv"")",5,5
BasicML049,*No idea ,0,0
BasicML004,.head,1,2
BasicML038,"1) used to define a question
2) clear the measurements priorities
3)To collect data
4) used to analyze data",4,3
BasicML038,"1)Ask The Right Questions
2) Data Collection. 
3) Data Cleaning. ...
4) Analyzing The Data. ...
5) Interpreting The Results",5,5
BasicML038,"1)Asking appropriate questions to get right data
2) Collecting the right data
3) Cleaning the data
4) Analysing the data
5) Representing the data",5,5
BasicML038,"1)Define our questions
2)set clear measurements of data
3) collection of data
4) analysing our data
5)interpret the results",5,5
BasicML038,"1. Determining the objective
2. Data Collection
3. Data Cleaning
4. Interpreting the data",4,4
BasicML042,"1.Accuracy
2.Confusion Matrix
3.Log-loss",4,3
BasicML038,"1.ask the right questions 
2.data collection 
3.data cleaning 
4.analyzing data 
5.intrepreting the results ",5,5
BasicML038,"1.Asking questions
2.Data collection
3.Data cleaning
4.Analyzing the data
5.Interpretting the data",5,5
BasicML038,"1.collect data,2.analyze data,3.interpret data",3,3
BasicML038,1.define your questions.2.set clear measurements priorities.3.collect data.4. analyse data.5.interpret results,5,5
BasicML038,"1.Defining questions 
2.set clear measurements 
3.collecting data
4.analyzing data
5.interpret results.",5,5
BasicML035,"1.Mean Squared Error
2.Root mean squared Error
3.Mean absolute Error",5,5
BasicML043,"1D array contains elements only in one direction.
Firstly make a list then pass it in numpy.array()
a= no.array([list])",5,4
BasicML028,3D array and it is a library.,1,0
BasicML034,"A boxplot is a graph that gives a good indication of how the values in the data are spread out. Boxplots are a standardized way of displaying the distribution of data based on a five number summary (minimum - first quartile (Q1), median - third quartile (Q3), and maximum.",5,5
BasicML034,"A boxplot is a graph that gives a good indication of how the values in the data are spread out. Boxplots are a standardized way of displaying the distribution of data based on a five number summary (minimum - first quartile (Q1), median - third quartile (Q3), and maximum.",5,5
BasicML006,A collection of data,2,2
BasicML006,A collection or a set of data which in generally a tabular form,4,4
BasicML016,A data plotted in the forms of circles .,0,0
BasicML006,A Data set is a set or collection of data.,4,4
BasicML020,A data set which classifies into two classes is known as binary classification and which classifies into more than two classes is multi class classification,3,3
BasicML017,a data-item,0,0
BasicML006,A dataset is a collection of data,4,3
BasicML006,a dataset is a collection of objects which is used to train  the machine by using a machine algorithm.,4,4
BasicML029,"A discrete data contains only certain values, for example integers. A continuous data can have any value within a specified range,for example height. ",4,4
BasicML029,"A discrete distribution is one in which the data can only take on certain values, for example integers. A continuous distribution is one in which data can take on any value within a specified range (which may be infinite).",5,5
BasicML008,A entire group used for designing a data is called Population. A specific group for designing a data is called Sample,3,3
BasicML045,a graphical representation of data in a color coded system,0,0
BasicML045,A graphical representation that operates a group of data points into specified ranges,3,3
BasicML045,"A histogram  is a graphical  representation  that  organizes  a group  of data  points  into  userspecified  ranges.  Similar  in  appearance  to  a  bar graph,  the histogram  condenses  a data  series  into  an  easily interpreted  visual  by  taking  many  data  points  and  grouping  them  into bins",5,5
BasicML045,"A histogram is a graphical representation that organizes a group of 
data points into user-specified ranges. Similar in appearance to a bar 
graph, the histogram condenses a data series into an easily 
interpreted visual by taking many data points and grouping them into 
logical ranges or bins.",5,5
BasicML045,"A histogram is a graphical representation that organizes a group of 
data points into user-specified ranges. Similar in appearance to a bar 
graph, the histogram condenses a data series into an easily 
interpreted visual by taking many data points and grouping them into 
logical ranges or bins.
",5,5
BasicML045,"A histogram is a graphical representation that organizes a group of 
data points into user-specified ranges. Similar in appearance to a bar 
graph, the histogram condenses a data series into an easily 
interpreted visual by taking many data points and grouping them into 
logical ranges or bins.",5,5
BasicML045,"A histogram is a graphical representation that organizes a group of 
data points into user-specified ranges. Similar in appearance to a bar 
graph, the histogram condenses a data series into an easily 
interpreted visual by taking many data points and grouping them into 
logical ranges or bins",5,5
BasicML045,A histogram is a graphical representation that organizes a group of data into user specified ranges. ,4,3
BasicML045,A histogram is a graphical representation that organizes a group of data points into user-specified ranges.,4,3
BasicML045,"A histogram is a graphical representation
That organizes a group of data points into
User-specified ranges",4,4
BasicML045,A histogram is a graphical representation.Its appearance is similar to a bar graph.,2,2
BasicML045,A histogram is basically used to represent data provided in a form of some groups.It is accurate method for the graphical representation of numerical data distribution.It is a type of bar plot where X-axis represents the bin ranges while Y-axis gives information about frequency.,5,5
BasicML045,A histogram is basically used to represent data provided in a form of some groups.It is accurate method for the graphical representation of numerical data distribution.It is a type of bar plot where X-axis represents the bin ranges while Y-axis gives information about frequency.,5,5
BasicML028,A numerical python contains a multidimensional  array object ,3,2
BasicML008,A population is the entire group from which conclusions can be drawn. A sample is the specific group from which data can be collected. The size of the sample is less than or equal to the total size of the population.,5,5
BasicML025,A procedure used for evaluate ML dataset,3,2
BasicML028,"A Python Library that provides a multidimensional array object , various derived object .",3,2
BasicML007,A set of instructions for a given problem,3,3
BasicML007,A step by step procedure to solve a given problem,4,4
BasicML019,A supervised learning is a learning by knowing everything about it and we will practise it time to time not only that is but also we have to improve day by day results,0,0
BasicML001,A type of artificial intelligence that gives accurate outcome without programming,4,3
BasicML047,A type of data that is used to lable variables without providing any quantitative value. ,3,3
BasicML041,€(x^-x)^2/n,1,1
BasicML017,Abnormal values in data,2,1
BasicML017,Abnormal values in data. ,2,3
BasicML033,Absolute error refers to the magnitude of difference between the prediction of an observation and the true value of that observation. MAE takes the average of absolute errors for a group of predictions and observations as a measurement of the magnitude of errors for the entire group.,5,5
BasicML035,"Absolute error, square error, root of squared error",3,2
BasicML042,Accuracy,1,1
BasicML026,Accuracy = Number of correct predictions / Total number of predictions.,5,5
BasicML026,Accuracy = Number of correct predictions -Total number of predictions,2,2
BasicML026,Accuracy = Number of correct predictions Total number of predictions.,4,4
BasicML026,Accuracy = Number of correct predictions Total number of predictions.,5,4
BasicML042,Accuracy and precision,3,2
BasicML042,Accuracy and precision ,2,2
BasicML042,Accuracy and prediction,1,1
BasicML026,Accuracy is an evalution metric employed for classfication models. It can be defined as the number of classfications a model correctly predicts divided by the total number of predictions made.,5,5
BasicML026,Accuracy is an evalution metric for classfication models. It can be defined as the number of classfications a model correctly predicts divided by the total number of predictions made.,5,5
BasicML026,"accuracy is defined as how far the machine is able to produce the desired outcome, the lesser the MAE, the better is the model.",5,5
BasicML026,"Accuracy is one metric for evaluating classification models. Informally, accuracy is the fraction of predictions our model got right. ",5,5
BasicML026,"Accuracy is that performance of a model ,how good does that work.",2,1
BasicML026,Accuracy is the number of correct predictions made by the model by the total number of records.,4,4
BasicML026,Accuracy is the Number of correct predictions Total number of predictions.,3,3
BasicML026,Accuracy is the value of how much perfectly  dataset works,1,0
BasicML026,Accuracy means how the actual value is related to predicted value,0,0
BasicML043,"Accuracy, precision and sensitivity",0,0
BasicML042,"Accuracy, Precision, Recall, F1 score, Log loss or Binary crossentropy, categorical crossentropy, AUC.",5,5
BasicML042,"Accuracy, Recall, Precision, and F1- Score",4,4
BasicML042,"Accuracy,precision,",2,2
BasicML042,"Accuracy.
Confusion Matrix.
Precision, Recall, and F1 score.
ROC AUC.
Log-loss.",5,5
BasicML003,Add all the values of a dataset and divide with the number of values,3,3
BasicML023,"Advantages of numpy library are:
It requires less memory
Processing speed is high etc....

",2,2
BasicML007,Algorithm is a set of instructions that performs a specific task.,4,4
BasicML007,Algorithm is a set of rules to perform a specific task.,4,4
BasicML007,Algorithm is a step by step process .steps used to complete some task is called algorithm.,5,5
BasicML007,Algothm is a logic of the problem,1,1
BasicML015,"Alignment and indexing,Handling missing data,Cleaning up data,Input and output tools,Multiple file formats supported,Merging and joining of datasets",5,5
BasicML007,"An algorithm is a set of instructions for solving a problem or
accomplishing a task. One common example of an algorithm is a
recipe
",5,5
BasicML007,An algorithm is a set of instructions for solving the programs.,5,5
BasicML007,an algorithm is a step by step process which is used to do a particular task ina a specified manner or oerder,5,5
BasicML017,An observation which is an abnormal behaviour,0,0
BasicML017,An outlier is a thing which is a large distance when compared to other datasets,3,2
BasicML017,An outlier is a value that lies an abnormal distance from other values in the dataset. These values are generally removed from the mass of the data.,5,5
BasicML017,An outlier is a value that lies an far awy from other values in the dataset. These values are generally removed from the mass of the data. These values show impact on the calculation of central tendency . for eg. mean is effected by outliers.,5,5
BasicML017,An outlier is an object that deviates significantly from the other objects,4,3
BasicML017,An outlier is an observation that lies an abnormal distance from other values in the dataset. These values are generally removed from the mass of the data.,5,5
BasicML017,an variable which is far away from specific variables then it is known as outlier,5,4
BasicML030,"Analysing the data,and to identify the patterns, outliers within dataset using various graphs or plots",3,3
BasicML018,Analysis refers to the critical process of performing initial investigations on data ,4,4
BasicML018,Analyzing data and finding trends,2,2
BasicML039,appearing the same thing more times,2,2
BasicML043,"arange, array",2,1
BasicML046,"As the name suggests ,the isnull() method
Is used to check if the object is bull or not.
That mean it has value under the column of our data set",5,5
BasicML033,average difference between the actual data value and predicted value of model,5,4
BasicML041,Average of squares of all errors that is difference between estimated value and actual error. ,5,5
BasicML041,Average of the square value between original and predicted values.,4,4
BasicML044,"Bar chart
Pie chart
Pareto chart",3,3
BasicML037,"Bar Chart, Line Chart, Area chart, Histogram",5,5
BasicML037,"Bar Chart, Line Chart, Area chart, Histogram",5,5
BasicML037,"Bar Chart, Line Chart, Area chart, Histogram",5,5
BasicML037,"Bar Chart, Line Chart, Area chart, Histogram, violin plot",5,5
BasicML037,"Bar Chart,Pie Chart,Pareto Chart ",4,4
BasicML044,"bar charts, histograms, pie charts, Frequency Distrubution  Tables",3,3
BasicML037,"Bar chats,scatter plot.",3,2
BasicML044,barchart piechart histogram,3,2
BasicML037,"Barchart
Pie chart",3,2
BasicML044,"Barchart, violinplot ,histogram and heatmap",4,4
BasicML037,"barchart,box plot ,histogram",5,4
BasicML044,bargraph histograph,2,2
BasicML016,Basically it is used for identifying others patterns in data,1,1
BasicML020,"Binary classfication is the approach used when class count in the target column is two, otherwise multiclass classification approach is used",4,4
BasicML020,"Binary classification - 2 classes, multiclass classification - greater than two classes",3,3
BasicML020,Binary classification  are assigned exactly one of two classes whereas Multi-class classification is are assigned exactly one of more than two classes.,5,5
BasicML020,Binary classification are those tasks where examples are assigned exactly one of two classes. Multi-class classification is those tasks where examples are assigned exactly one of more than two classes.,5,5
BasicML020,"binary classification-- classifies the object to atmost two classes
multiclass classification --- classifies the object at more than two classes",3,3
BasicML020,"binary classification dividing into two classes,multi class classification is dividing into multi classes.",3,3
BasicML020,"Binary classification is classification of two groups
And multiclass classification is classification of more than two groups",4,4
BasicML020,Binary Classification is the approach used when the dataset has two classes and multiclass classification is the approach used when the dataset has more than two classes.,5,5
BasicML020,Binary classification used to categorise the observations and multi class is the problem of classifying instances into one of three or more classes,3,3
BasicML020,"binary classification:one of two classes
Multiclass classification:assigned exactly one of more than two classes.",5,5
BasicML020,"binary- classifies into 2 classes
multiclass-classifies into more than 2 classes",3,3
BasicML011,Bivariate statistics compared two variables,1,0
BasicML044,Box plot and dot plot are used for doing Univariate analysis on quantitative data,2,2
BasicML034,Box plot give a good graphical image of the concentration of the data.,3,3
BasicML034,Box plot is a method for graphically depicting groups of numerical data.,4,3
BasicML034,Box Plot is a type of chart that depicts a group of numerical data through their quartiles. It is a simple way to visualize the shape of our data. It makes comparing characteristics of data between categories very easy. ,5,5
BasicML034,Box plot is used to represent the data in graphical form. It divides the data into quartiles.,4,4
BasicML037,"Box plot, Histogram, scatter plot etc. ",5,5
BasicML037,"Box plot, histogram, scatterplot, violion plot.",4,4
BasicML044,"Box plot, histogram,scatter plot, violin plot.",4,4
BasicML044,"Box plot,Histograms,,scatter plot,Violion plot",5,5
BasicML044,"Box plot,Histograms,,scatter plot,Violion plot .",5,5
BasicML044,"Box plot,Histograms,Scatter plot,violion plot",4,4
BasicML037,"Box plot,violion plot,scatter plot",4,4
BasicML034,"Box plots (also called box-and-whisker plots or box-whisker plots) 
give a good graphical image of the concentration of the data. They 
also show how far the extreme values are from most of the data.",5,5
BasicML034,"Box plots (also called box-and-whisker plots or box-whisker plots) 
give a good graphical image of the concentration of the data. They 
also show how far the extreme values are from most of the data.",5,5
BasicML034,Box plots gives a good graphical image of the concentration of the data.,3,3
BasicML037,"Boxplot , line plot",3,2
BasicML044,"boxplot , scatter plot , histograms , violin plot",4,4
BasicML034,"boxplot give a good graphical image.And also show how far the extreme values are from.
",4,4
BasicML034,Boxplot give good graphical image of concentration of the data. They also show how far the extreme values are from most of the data.,4,4
BasicML034,Boxplot gives the good graphical to the concentration of the data. ,3,3
BasicML034,Boxplot is a type of chart is used to visualise the data using quartiles ,4,4
BasicML037,"boxplot
scatterplot",3,2
BasicML037,"Boxplot, Histogram and scatter plot",4,3
BasicML023,"Broadcasting, fast processing speed, matrix operations, many methods, creation of n-dimensional arrays, slicing and indexing of arrays.",5,5
BasicML013,By buit in function diag,0,0
BasicML007,By giving previous data it give an exact outcome of what we needed.,0,0
BasicML043,By important NumPy as np and then using arrange ,2,2
BasicML023,By numpy we create n-dimensional array and  elements in array stored in contiguous memory ,2,2
BasicML022,by training a model,0,0
BasicML004,"By using ""head method"" we can see the top 5 records by default.by using tail method we can see last 5 records.",4,3
BasicML004,By using .head(),5,4
BasicML043,By using array(),1,0
BasicML010,By using drop() method,3,3
BasicML004,By using head function,4,4
BasicML004,By using head() ,5,4
BasicML004,By using head()method we can find 5 records of a DataFrame.By using pandas.DataFrame.head() can help to find the n number of records from top.,4,4
BasicML003,by using mean() function ,4,3
BasicML010,"by using pd.drop(""colu8mn namre"")",2,2
BasicML013,By using read.csv() function,2,2
BasicML016,By visualizing the data we can say correlation between two variables.,2,2
BasicML023,Can deal with 3D multi dimensional arrays. It is faster than lists and we can deal faster calculations using NumPy library,3,2
BasicML016,can find relation ship between two numeric terms,2,2
BasicML024,"Classication is the process of categorizing a given set of data into classes. It can be performed on both structured or unstructured data. The process starts with predicting the class of given data points. The classes are often referred to as target, label or categories.
",5,5
BasicML024,"Classication is the process of categorizing a given set of data into two or more discrete classes. It can be performed on both structured or unstructured data. The process starts with predicting the class of given data points. The classes are often referred to as target, label or categories.

",5,5
BasicML024,"Classification comes under supervised machine learning. In classification problems, the computer program learns from the data given to it and make new observations or classifications.",5,5
BasicML024,"Classification is a large domain in the field of statistics and machine learning. Generally, classification can be broken down into two areas: Binary classification, where we wish to group an outcome into one of two groups.",3,3
BasicML024,Classification is a supervised learning approach in which the computer program learns from the data given to it and make new observations or classifications.,5,5
BasicML024,Classification is a supervised learning approach in which the computer program learns from the data given to it and make new observations or classifications.,5,5
BasicML024,Classification is division of data by its category,1,1
BasicML024,Classification is meant by grouping data based on their properties or futures,0,0
BasicML024,Classification is s alagorithm used to separate the spam mails ,1,1
BasicML024,Classification is that we divide things based on some criteria.,1,1
BasicML024,"Classification is a large domain in the field of statistics and machine learning. Generally, classification can be broken down into two areas: Binary classification, where we wish to group an outcome into one of two groups",3,3
BasicML024,"Classification is a large domain in the field of statistics and machine learning. Generally, classification can be broken down into two areas: Binary classification, where we wish to group an outcome into one of two groups",3,3
BasicML024,"Classification is a large domain in the field of statistics and machine learning. Generally, classification can be broken down into two areas: Binary classification, where we wish to group an outcome into one of two groups",3,3
