QuestionID,StudentAnswer,Score1,Score2
PythonQ028,-,0,0
PythonQ057,No answer for this,0,0
PythonQ027," An interpreter produces a result from a program, while a compiler produces a program written in assembly language",0,0
PythonQ045, count() method gives Repeated elements ina list,0,0
PythonQ037, During Function definition we mention the parameter list. When we call the function pythin by default matches parameters to function definition,1,0
PythonQ058," n= 23
fact = 1
for i in range(1,n+1):
    fact = fact * i   
print (""The factorial of 23 is : "" )
print(fact)",0,0
PythonQ025,%,0,0
PythonQ025,.csv,1,0
PythonQ024,/,0,0
PythonQ024,/,0,0
PythonQ008,"[::-1] , it outputs the elements of data structures in a reverse order during execution only but not in that variable.",1,0
PythonQ033,\n ,0,0
PythonQ060,"+ ,_ ,÷,×",1,0
PythonQ020,"1)object
2)class
3) inheritance
4)exception handling
Polymorphism",0,0
PythonQ025,"1. 'print()' ,2. 'len()', 3. 'int()', 4. 'list()' etc.",0,0
PythonQ066,17 The number 17 is zero or positive. Positive numbers are greater than zero. ,0,0
PythonQ055,a block of code which calculates the factorial ,0,0
PythonQ059,A class is a code used for creating objects,1,0
PythonQ006,A compiler is  used to run the program Line by Line and debugging is easy ,0,0
PythonQ066,A decision which is used for a multi tasking ,0,0
PythonQ053,A list comprehension evaluates the list ,0,0
PythonQ059,a number of persons or things regarded as forming a group by reason of common attributes,0,0
PythonQ060,a person who operates equipment or a machine.,0,0
PythonQ060,A person who operates machine,0,0
PythonQ051,A person who thinks follows a rule ,0,0
PythonQ051,A thing that not exclude from a general statement ,0,0
PythonQ038,"a=int(input())
if a<5:
    print(""a is less than 5"")
else:
    print(""a is greater than 5"")",0,0
PythonQ025,"abs()
all()
any()
bin()
bytes()
float()",0,0
PythonQ050,Access an value to particular variable ,0,0
PythonQ035,Actual parameters are the actual values we give as inputs.,0,0
PythonQ033,after four spaces,0,0
PythonQ033,After the code is without error,0,0
PythonQ027,an  interpreter produces a result from a program  while a compiler produce a program written in assembly language,0,0
PythonQ062,An expression is an expression ,0,0
PythonQ027,"an interpreter produces a result from a program, while a compiler produces a program written in assembly language",0,0
PythonQ060,"An operator assigns a function to two operands, may be the operands are integer type or a string type but not both",0,0
PythonQ037,Argument is just a positional argument with a default value.,0,0
PythonQ037,Arguments are positional by default values.,0,0
PythonQ021,Because in recursion they repeat the process until unless the result get obtained which is a time taking process whereas in the iteration it takes less time to complete the process than recursion soIterative functions perform better than Recursive functions. ,0,0
PythonQ021,because iterative function has a loop whiole recursive function functions as loopm but not a loop.,0,0
PythonQ021,Because iterative functions are more efficient than recursive functions.,0,0
PythonQ021,Because the iterative statements terminates after the necessary condition,0,0
PythonQ018,Because they are multidimensional and mutable,0,0
PythonQ018,Because they can be used easily and it just require few lines of code rather than writing huge amounts of code,0,0
PythonQ059,blue print which is followed by objects,0,0
PythonQ064,bool -> char -> short int -> int ->   unsigned int -> long -> unsigned ->   long long -> float -> double -> long,0,0
PythonQ018,Both are equal but numpy used as packeses.,0,0
PythonQ017,both are functions,0,0
PythonQ017,break breaks and continue continues,0,0
PythonQ017,Break it brings to end of program.continue it brings us from working case to next.,0,0
PythonQ017,"Break means when statement is incorrect it will break 
Continue means when statement is incorrect it will continue. ",0,0
PythonQ017,Break will stop the running of program. Continue will help to leave that step and proceed to next step and then continues,0,0
PythonQ017,"break-skips the whole iteration i.e stops the loop iteration in which it is placed
continue-skips the single iteration",0,0
PythonQ022,by numpy,0,0
PythonQ056,By recursion we can reduce the unnecessary calling of a function,0,0
PythonQ019,By specifying particular python code document with .py extension ,0,0
PythonQ009,By using . lowercase (),0,0
PythonQ021,by using CALL to the function,0,0
PythonQ011,by using def,0,0
PythonQ009,By using default user-defined function .toLowerCase(),1,0
PythonQ028,by using isnum() method,0,0
PythonQ029,By using len operator,0,0
PythonQ029,By using len() operator.,0,0
PythonQ029,by using length(),0,0
PythonQ029,by using length() method,0,0
PythonQ019,By using library,0,0
PythonQ022,by using numpy,0,0
PythonQ031,By using split () method,0,0
PythonQ029,by using str.len() we can get the lenght of the string.,0,0
PythonQ033,by using the break statement,0,0
PythonQ009,By using the inbuilt function casefold.,0,0
PythonQ031,by writing a loop,0,0
PythonQ031,by writing custom functions,1,0
PythonQ039,Calling a function is called recursion,0,0
PythonQ039,Calling the value itself. ,0,0
PythonQ055,can be written using recursion and iterative function,0,0
PythonQ018,Can store in colums and rows can even store 2D and 3D colums,0,0
PythonQ009,Casefold(),0,0
PythonQ051,causing error in a block,0,0
PythonQ004,change in value of local variable doesn't effect global variable,1,0
PythonQ025,"chr() 
complex() 
range() ",0,0
PythonQ025,"chr() 
range() 
complex() ",0,0
PythonQ025,"chr()
complex()
range()",0,0
PythonQ025,"Chr()
Complex()
Range()",0,0
PythonQ025,"chr()
complex()
Range()",0,0
PythonQ025,"chr(),ascii(),len(),input(),dict()",0,0
PythonQ059,Class can be defined by applying the keyword class,0,0
PythonQ059,Class is an instance of object.,0,0
PythonQ059,Classes are keywords,0,0
PythonQ056,code can be used several times. time efficient,0,0
PythonQ062,Combination of operators,1,0
PythonQ016,comments are keywords,0,0
PythonQ016,Comments are loops,0,0
PythonQ006,Compiler gives error after compilation of full code,1,0
PythonQ027,Compiler is software and interpreter used for hardware network,1,0
PythonQ027,Compiler produces a program written in assembly language while interpreter results a program,0,0
PythonQ027,"Complier execute and compiles the program line by line.
Interpreter execute the whole program and then complies.",0,0
PythonQ006,Complier is a program that converts machine code into high level language that is human readable,0,0
PythonQ038,condition ? statements : statements,0,0
PythonQ017,Correction of sentence,0,0
PythonQ045,Count () is used to count repetition of items in list,0,0
PythonQ022,create a numpy array with 450 elements,0,0
PythonQ055,Def,0,0
PythonQ055,def factorial(a): return a!,0,0
PythonQ055,Def factorial(n) ,1,0
PythonQ055,"def factorial(n):
            -----------
            -----------
            return()",1,0
PythonQ058,"def factorial(n):
     if n==1:
         return 1
     else:
         return factorial(n-1)*factorial(n-2)
a=int(input())
print(factorial(a))",0,0
PythonQ058,"def factorial(n):
   f=1
   for  i in range(1,n+1):
      f*=i
   return f
n=int(input(""enter the number.""))
r= factorial(n)
print(r)",0,0
PythonQ054,Default arguments are the which don't take any arguments,0,0
PythonQ046,Default return value indicate that function argument take the value .when no argument value is passed during function call .,0,0
PythonQ058,define recur fact(n):,0,0
PythonQ032,del() method is used to delete whereas remove() is used to replace,1,0
PythonQ032,del() will delete entire characters whereas remove() function will delete only a specific character.,0,0
PythonQ025,"dict() 
dir()
sorted()",0,0
PythonQ025,"dir(),int(),byte(),float(), input ()",0,0
PythonQ054,Don't know,0,0
PythonQ055,Don't know,0,0
PythonQ057,Don't know,0,0
PythonQ035,don't no madam,0,0
PythonQ037,don't no madam,0,0
PythonQ020,easy,0,0
PythonQ020,"Easy to use,",0,0
PythonQ038,else if:,0,0
