,QuestionID,ReferenceAnswer,StudentAnswer,Score1,Score2,avg_score,max_score
0,PythonQ001,"List, Set and Dictionary are mutable data structures in python",Tha object structures which can be changeable are called mutable data structures.,1,0,0.5,1
1,PythonQ001,"List, Set and Dictionary are mutable data structures in python",Tuple,0,0,0.0,0
2,PythonQ001,"List, Set and Dictionary are mutable data structures in python",list,2,1,1.5,2
3,PythonQ001,"List, Set and Dictionary are mutable data structures in python",List ,2,1,1.5,2
4,PythonQ001,"List, Set and Dictionary are mutable data structures in python",Lists,2,1,1.5,2
5,PythonQ001,"List, Set and Dictionary are mutable data structures in python",Lists,2,1,1.5,2
6,PythonQ001,"List, Set and Dictionary are mutable data structures in python",Lists,2,1,1.5,2
7,PythonQ001,"List, Set and Dictionary are mutable data structures in python",Lists.,2,1,1.5,2
8,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List, dictionaries",3,2,2.5,3
9,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List, Dictionary",3,2,2.5,3
10,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List, dictionary",3,2,2.5,3
11,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List, dictionary",3,2,2.5,3
12,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List, dictionary,set",3,2,2.5,3
13,PythonQ001,"List, Set and Dictionary are mutable data structures in python",Lists,2,2,2.0,2
14,PythonQ001,"List, Set and Dictionary are mutable data structures in python",Lists,2,2,2.0,2
15,PythonQ001,"List, Set and Dictionary are mutable data structures in python","Lists, sets",3,2,2.5,3
16,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List, dictionary, set",4,3,3.5,4
17,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List,
Dictionary are key value pairs , the keys are immutable and unique but the value are mutable",4,3,3.5,4
18,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List,dict,set",4,3,3.5,4
19,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List,set,dictionary",4,3,3.5,4
20,PythonQ001,"List, Set and Dictionary are mutable data structures in python",Lists and dictionaries,3,3,3.0,3
21,PythonQ001,"List, Set and Dictionary are mutable data structures in python",Lists and dictionaries,3,3,3.0,3
22,PythonQ001,"List, Set and Dictionary are mutable data structures in python","lists,elements in dictionaries etc..,",3,3,3.0,3
23,PythonQ001,"List, Set and Dictionary are mutable data structures in python","Dictionary, set, list",4,4,4.0,4
24,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List ,set, dictionary",4,4,4.0,4
25,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List
Sets
Dictionarys",4,4,4.0,4
26,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List, dictionaries (keys),sets",4,4,4.0,4
27,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List, Dictionaries, Sets",4,4,4.0,4
28,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List, dictionary,sets",4,4,4.0,4
29,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List, dictionary,sets",4,4,4.0,4
30,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List, set, dictionary",4,4,4.0,4
31,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List, set, dictionary",4,4,4.0,4
32,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List, Set, Dictionary",4,4,4.0,4
33,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List,dictionary,set",4,4,4.0,4
34,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List,dictionary,set",4,4,4.0,4
35,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List,dictionary,sets ",4,4,4.0,4
36,PythonQ001,"List, Set and Dictionary are mutable data structures in python","List,Set and Dictionary",4,4,4.0,4
37,PythonQ001,"List, Set and Dictionary are mutable data structures in python","Lists, dictionaries, sets",4,4,4.0,4
38,PythonQ001,"List, Set and Dictionary are mutable data structures in python","Lists,dictionary,sets",4,4,4.0,4
39,PythonQ001,"List, Set and Dictionary are mutable data structures in python","Lists,sets, dictionaries",4,4,4.0,4
40,PythonQ001,"List, Set and Dictionary are mutable data structures in python",Mutable means changable.some examples are list set dictionaries,5,4,4.5,5
41,PythonQ001,"List, Set and Dictionary are mutable data structures in python","Set, dictionary, list",4,4,4.0,4
42,PythonQ001,"List, Set and Dictionary are mutable data structures in python","Mutable data structures are list, dictionary,set.Mutable means which can be changed further.we can make any changes if required.where as immutable mean which cannot be changed again once created.for ex:tuple,string,float.",5,5,5.0,5
43,PythonQ001,"List, Set and Dictionary are mutable data structures in python","Mutable data structures are that we can change or edit that data structure. 
Mutable data structures are lists , sets, dictionary",5,5,5.0,5
44,PythonQ001,"List, Set and Dictionary are mutable data structures in python","Mutable data structures in python are lists, dictionary, set. ",5,5,5.0,5
45,PythonQ001,"List, Set and Dictionary are mutable data structures in python","Mutable i.e they are changeable ex:lists, dictionary their length can be changed.",5,5,5.0,5
46,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Functions are used to rerun the programs many times,0,0,0.0,0
47,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,A set of instructions,2,1,1.5,2
48,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,A small piece of code that can be reused. ,2,1,1.5,2
49,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,block of code,1,1,1.0,1
50,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Block of code ,1,1,1.0,1
51,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Function have a keyword def then the function name with curve brackets within it our program will be written,0,1,0.5,1
52,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,It is a group of code,2,1,1.5,2
53,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Collection of statements,1,2,1.5,2
54,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Function is a block of instructions build by user,2,2,2.0,2
55,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Group of instructions and used any where in the code,3,2,2.5,3
56,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Set of   statements  runs whenever called,2,2,2.0,2
57,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Set of code used in several times,3,2,2.5,3
58,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,A block of code that performs a specific task.,4,3,3.5,4
59,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,A function is a block of instructions that takes input and process it then return the output. ,3,3,3.0,3
60,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Function helps us to use the same code again and again. ,3,3,3.0,3
61,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,"Function in python used to do sub tasks
It's mainly reduces lines of code by a technique called code reusablility.",3,3,3.0,3
62,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,Function makes a specific piece of code reusable.,4,3,3.5,4
63,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,It performs a certain task or subtask,3,3,3.0,3
64,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,A function is a block of organised and resuable code once we defined . We can use anywhere. The function can be called by argumenta,3,4,3.5,4
65,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,A function is a peace of code executed by calling,3,4,3.5,4
66,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,A function is a piece of code which is executed when the user call that function in python file. ,5,4,4.5,5
67,PythonQ002,A function is a  reusable block of code that is intended to perform a single and specific task,A function is a resuable block of code that can perform basic task,5,4,4.5,5
